codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_32,res_01012602,"1,00","0,00","1,00","1,00","1,00","1,00","1,00","3,00"
spec_14,res_01063200,"0,00","0,00","1,00","1,00","0,00","0,00","2,00","2,00"
spec_14,res_01065500,"5,00","10,00","7,00","3,00","15,00","0,00","0,00","20,00"
spec_14,res_01000801,"5,00","4,00","3,00","4,00","2,00","1,00","2,00","15,00"
spec_14,res_01090501,"12,00","8,00","7,00","7,00","7,00","2,00","2,00","33,00"
spec_14,res_01090600,"10,00","7,00","9,00","7,00","7,00","3,00","3,00","23,00"
spec_14,res_01090701,"5,00","6,00","6,00","4,00","6,00","2,00","3,00","18,00"
spec_14,res_01001100,"4,00","3,00","4,00","4,00","4,00","4,00","3,00","13,00"
spec_14,res_01090800,"9,00","7,00","8,00","8,00","5,00","3,00","5,00","24,00"
spec_14,res_01000501,"3,00","2,00","1,00","1,00","1,00","1,00","1,00","5,00"
spec_14,res_01090101,"12,00","12,00","11,00","8,00","14,00","3,00","6,00","37,00"
spec_14,res_01061600,"8,00","7,00","5,00","5,00","7,00","2,00","3,00","16,00"
spec_14,res_01008500,"4,00","3,00","11,00","6,00","7,00","3,00","1,00","15,00"
spec_68,res_01002601,"3,00","3,00","3,00","3,00","4,00","0,00","0,00","28,00"
spec_68,res_01000901,"6,00","5,00","5,00","4,00","5,00","4,00","4,00","24,00"
spec_68,res_01090501,"7,00","5,00","6,00","5,00","4,00","4,00","3,00","19,00"
spec_68,res_01002606,"1,00","3,00","2,00","2,00","2,00","1,00","0,00","5,00"
spec_68,res_01090400,"8,00","9,00","7,00","7,00","8,00","6,00","6,00","52,00"
spec_68,res_01090600,"6,00","6,00","6,00","6,00","5,00","5,00","4,00","33,00"
spec_68,res_01090701,"6,00","7,00","7,00","7,00","5,00","7,00","4,00","30,00"
spec_68,res_01090800,"2,00","2,00","2,00","3,00","2,00","2,00","2,00","9,00"
spec_68,res_01002604,"1,00","1,00","0,00","1,00","0,00","1,00","0,00","2,00"
spec_68,res_01090302,"2,00","5,00","9,00","5,00","5,00","2,00","2,00","12,00"
spec_68,res_01090101,"5,00","3,00","3,00","3,00","3,00","2,00","2,00","27,00"
spec_68,res_01008500,"6,00","9,00","5,00","4,00","7,00","4,00","3,00","32,00"
spec_61,res_01090701,"2,00","1,00","2,00","0,00","2,00","0,00","0,00","2,00"
spec_61,res_01090800,"5,00","5,00","5,00","5,00","5,00","0,00","0,00","5,00"
spec_19,res_01002601,"2,00","2,00","2,00","2,00","2,00","0,00","0,00","18,00"
spec_19,res_01090501,"3,00","2,00","3,00","2,00","1,00","1,00","0,00","8,00"
spec_19,res_01090600,"7,00","7,00","6,00","4,00","7,00","3,00","2,00","21,00"
spec_19,res_01090701,"5,00","4,00","4,00","5,00","3,00","3,00","3,00","17,00"
spec_19,res_01002301,"3,00","2,00","2,00","2,00","2,00","0,00","0,00","53,00"
spec_19,res_01090800,"2,00","4,00","4,00","4,00","4,00","3,00","2,00","28,00"
spec_19,res_01001200,"3,00","3,00","2,00","3,00","4,00","0,00","0,00","13,00"
spec_19,res_01000401,"1,00","3,00","1,00","2,00","3,00","0,00","0,00","22,00"
spec_19,res_01090302,"11,00","11,00","9,00","10,00","7,00","1,00","1,00","12,00"
spec_19,res_01012601,"1,00","2,00","1,00","0,00","1,00","0,00","0,00","3,00"
spec_19,res_01090101,"9,00","7,00","8,00","6,00","7,00","2,00","2,00","40,00"
spec_19,res_01090201,"2,00","1,00","3,00","1,00","1,00","0,00","0,00","8,00"
spec_31,res_01000902,"5,00","4,00","7,00","5,00","4,00","4,00","4,00","13,00"
spec_31,res_01012401,"1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00"
spec_31,res_01000901,"4,00","6,00","5,00","5,00","6,00","7,00","5,00","11,00"
spec_31,res_01090501,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_31,res_01000700,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_31,res_01090702,"0,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
spec_31,res_01090600,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_31,res_01090800,"8,00","7,00","9,00","9,00","10,00","6,00","7,00","19,00"
spec_31,res_01001700,"0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00"
